,corridor function,corridor name,corridor type,description,facilityid,maintenance responsibility,material,operating location,operating location type,operational responsibility,operator,owner,reference no,route type2,status,status parks,structures inspection route,width
comments,0.23529411764705888,0.2692307692307693,0.2692307692307693,0.09090909090909094,0.09999999999999998,0.1923076923076923,0.0,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.125,0.25,0.16666666666666663,0.2727272727272727,0.0625,0.04166666666666663,0.2222222222222222,0.125
description,0.2647058823529411,0.11538461538461542,0.15384615384615385,1.0,0.18181818181818177,0.17307692307692313,0.18181818181818177,0.3055555555555556,0.23913043478260865,0.28846153846153844,0.2272727272727273,0.045454545454545414,0.20833333333333337,0.0,0.18181818181818177,0.08333333333333337,0.2222222222222222,0.18181818181818177
facilityid,0.11764705882352944,0.07692307692307687,0.23076923076923073,0.18181818181818177,1.0,0.17307692307692313,0.19999999999999996,0.19444444444444442,0.21739130434782605,0.23076923076923073,0.09999999999999998,0.0,0.08333333333333337,0.18181818181818177,0.09999999999999998,0.08333333333333337,0.14814814814814814,0.19999999999999996
house no,0.1470588235294118,0.23076923076923073,0.15384615384615385,0.045454545454545414,0.0,0.1923076923076923,0.0,0.11111111111111116,0.15217391304347827,0.15384615384615385,0.0625,0.25,0.29166666666666663,0.36363636363636365,0.0,0.16666666666666663,0.20370370370370372,0.0
location,0.3529411764705882,0.15384615384615385,0.15384615384615385,0.40909090909090906,0.19999999999999996,0.17307692307692313,0.125,0.5833333333333333,0.4565217391304348,0.3076923076923077,0.1875,0.125,0.04166666666666663,0.18181818181818177,0.25,0.08333333333333337,0.20370370370370372,0.125
maintenance responsibility,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.17307692307692313,0.13461538461538458,1.0,0.21153846153846156,0.15384615384615385,0.11538461538461542,0.5961538461538461,0.11538461538461542,0.05769230769230771,0.21153846153846156,0.15384615384615385,0.07692307692307687,0.11538461538461542,0.14814814814814814,0.07692307692307687
map page,0.05882352941176472,0.1923076923076923,0.11538461538461542,0.09090909090909094,0.09999999999999998,0.23076923076923073,0.3125,0.16666666666666663,0.21739130434782605,0.15384615384615385,0.125,0.0,0.04166666666666663,0.13636363636363635,0.0,0.33333333333333337,0.14814814814814814,0.0
operational responsibility,0.1923076923076923,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.5961538461538461,0.15384615384615385,0.42307692307692313,0.40384615384615385,1.0,0.2692307692307693,0.11538461538461542,0.15384615384615385,0.13461538461538458,0.09615384615384615,0.13461538461538458,0.18518518518518523,0.07692307692307687
park name,0.1470588235294118,0.42307692307692313,0.1923076923076923,0.09090909090909094,0.09999999999999998,0.21153846153846156,0.2222222222222222,0.2222222222222222,0.23913043478260865,0.23076923076923073,0.11111111111111116,0.11111111111111116,0.08333333333333337,0.13636363636363635,0.0,0.25,0.18518518518518523,0.0
park ownership,0.17647058823529416,0.0714285714285714,0.1071428571428571,0.0,0.1428571428571429,0.17307692307692313,0.2142857142857143,0.16666666666666663,0.17391304347826086,0.23076923076923073,0.2142857142857143,0.3214285714285714,0.0714285714285714,0.1071428571428571,0.0357142857142857,0.0714285714285714,0.18518518518518523,0.1071428571428571
road code,0.17647058823529416,0.23076923076923073,0.23076923076923073,0.0,0.0,0.11538461538461542,0.11111111111111116,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.11111111111111116,0.11111111111111116,0.20833333333333337,0.36363636363636365,0.11111111111111116,0.16666666666666663,0.2222222222222222,0.11111111111111116
service classification,0.2954545454545454,0.13636363636363635,0.13636363636363635,0.2954545454545454,0.18181818181818177,0.23076923076923073,0.11363636363636365,0.36363636363636365,0.21739130434782605,0.23076923076923073,0.15909090909090906,0.045454545454545414,0.15909090909090906,0.13636363636363635,0.15909090909090906,0.15909090909090906,0.2592592592592593,0.09090909090909094
status,0.11764705882352944,0.07692307692307687,0.07692307692307687,0.18181818181818177,0.09999999999999998,0.17307692307692313,0.125,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.25,0.0,0.0,0.18181818181818177,1.0,0.5833333333333333,0.31481481481481477,0.16666666666666663
status date,0.11764705882352944,0.1923076923076923,0.11538461538461542,0.0,0.09090909090909094,0.17307692307692313,0.2727272727272727,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.09090909090909094,0.0,0.0,0.13636363636363635,0.5454545454545454,0.7083333333333333,0.31481481481481477,0.13636363636363635
work assignment,0.17647058823529416,0.23333333333333328,0.16666666666666663,0.09999999999999998,0.1333333333333333,0.13461538461538458,0.06666666666666665,0.13888888888888884,0.17391304347826086,0.17307692307692313,0.1333333333333333,0.16666666666666663,0.16666666666666663,0.1333333333333333,0.06666666666666665,0.06666666666666665,0.20370370370370372,0.1333333333333333
