,comments,description,facilityid,location,maintenance responsibility,number of trees,operating location,operating location type,operational responsibility,park name,park ownership,screen tree no,stand makeup,tree genus,tree species,tree variety
comments,0.5,0.04545454545454547,0.04999999999999999,0.0625,0.09615384615384615,0.09999999999999998,0.08333333333333331,0.09782608695652173,0.07692307692307693,0.05555555555555558,0.07142857142857145,0.0892857142857143,0.041666666666666685,0.125,0.0625,0.041666666666666685
description,0.04545454545454547,0.5,0.09090909090909088,0.20454545454545453,0.08653846153846156,0.06666666666666665,0.1527777777777778,0.11956521739130432,0.14423076923076922,0.04545454545454547,0.0,0.0892857142857143,0.0,0.0,0.08333333333333331,0.08333333333333331
facilityid,0.04999999999999999,0.09090909090909088,0.5,0.09999999999999998,0.08653846153846156,0.033333333333333326,0.09722222222222221,0.10869565217391303,0.11538461538461536,0.04999999999999999,0.07142857142857145,0.0357142857142857,0.041666666666666685,0.0,0.041666666666666685,0.041666666666666685
house no,0.125,0.022727272727272707,0.0,0.0625,0.09615384615384615,0.04999999999999999,0.05555555555555558,0.07608695652173914,0.07692307692307693,0.05555555555555558,0.07142857142857145,0.125,0.041666666666666685,0.07500000000000001,0.0625,0.041666666666666685
location,0.0625,0.20454545454545453,0.09999999999999998,0.5,0.08653846153846156,0.06666666666666665,0.29166666666666663,0.2282608695652174,0.15384615384615385,0.0,0.0357142857142857,0.05357142857142855,0.041666666666666685,0.025000000000000022,0.041666666666666685,0.08333333333333331
maintenance responsibility,0.05769230769230771,0.08653846153846156,0.06730769230769229,0.04807692307692307,0.75,0.06730769230769229,0.07692307692307693,0.1826923076923077,0.5480769230769231,0.06730769230769229,0.2532051282051282,0.09615384615384615,0.06730769230769229,0.08653846153846156,0.10576923076923078,0.10576923076923078
map page,0.0,0.04545454545454547,0.04999999999999999,0.0,0.11538461538461536,0.08333333333333331,0.08333333333333331,0.10869565217391303,0.07692307692307693,0.19444444444444442,0.0892857142857143,0.05357142857142855,0.14583333333333331,0.04999999999999999,0.08333333333333331,0.10416666666666669
operational responsibility,0.05769230769230771,0.07692307692307693,0.07692307692307693,0.08653846153846156,0.2980769230769231,0.06730769230769229,0.21153846153846156,0.20192307692307693,0.5,0.08653846153846156,0.11538461538461536,0.09615384615384615,0.06730769230769229,0.06730769230769229,0.08653846153846156,0.09615384615384615
park name,0.05555555555555558,0.04545454545454547,0.04999999999999999,0.0,0.10576923076923078,0.08333333333333331,0.6111111111111112,0.11956521739130432,0.11538461538461536,1.0,0.2142857142857143,0.0892857142857143,0.14583333333333331,0.04999999999999999,0.0625,0.10416666666666669
park ownership,0.07142857142857145,0.0,0.07142857142857145,0.0357142857142857,0.08653846153846156,0.06666666666666665,0.08333333333333331,0.08695652173913043,0.11538461538461536,0.2142857142857143,0.5,0.0357142857142857,0.0892857142857143,0.0892857142857143,0.07142857142857145,0.07142857142857145
road code,0.05555555555555558,0.0,0.0,0.1111111111111111,0.05769230769230771,0.08333333333333331,0.08333333333333331,0.09782608695652173,0.07692307692307693,0.08333333333333331,0.05357142857142855,0.0892857142857143,0.125,0.04999999999999999,0.08333333333333331,0.0625
service classification,0.21047536752309226,0.25151720615688067,0.09090909090909088,0.3486672289706889,0.11538461538461536,0.04545454545454547,0.28892925399364383,0.6086956521739131,0.11538461538461536,0.4777972027972028,0.5681818181818181,0.09090909090909088,0.5795454545454545,0.49213286713286714,0.5232517482517482,0.6363636363636364
status,0.03125,0.09090909090909088,0.04999999999999999,0.125,0.08653846153846156,0.08333333333333331,0.1388888888888889,0.10869565217391303,0.09615384615384615,0.0,0.0357142857142857,0.0892857142857143,0.1875,0.07500000000000001,0.0625,0.041666666666666685
status date,0.04545454545454547,0.0,0.04545454545454547,0.04545454545454547,0.08653846153846156,0.06666666666666665,0.1388888888888889,0.10869565217391303,0.09615384615384615,0.15909090909090912,0.01785714285714285,0.10714285714285715,0.20833333333333331,0.04545454545454547,0.0625,0.0625
work assignment,0.11666666666666664,0.04999999999999999,0.06666666666666665,0.11666666666666664,0.06730769230769229,0.033333333333333326,0.06944444444444442,0.08695652173913043,0.08653846153846156,0.15000000000000002,0.09999999999999998,0.06666666666666665,0.06666666666666665,0.08333333333333331,0.09999999999999998,0.08333333333333331
