,ALR,COMMENTS
0,Outside ALR,
1,Outside ALR, 
2,Outside ALR,
3,Within ALR, 
4,Outside ALR,Modified
5,Outside ALR, 
6,Outside ALR,
7,Outside ALR,Modified
8,Outside ALR,
9,Within ALR,Modified
10,Outside ALR, 
11,Outside ALR,New
12,Outside ALR,
13,Outside ALR,
14,Outside ALR,
15,Outside ALR,
16,Outside ALR,New
17,Outside ALR,Modified
18,Within ALR,Modified
19,Outside ALR, 
20,Outside ALR,
21,Outside ALR, 
22,Outside ALR, 
23,Within ALR, 
24,Within ALR,Modified
25,Within ALR, 
26,Outside ALR, 
27,Within ALR,New
28,Outside ALR, 
29,Within ALR, 
30,Outside ALR, 
31,Within ALR, 
32,Outside ALR, 
33,Outside ALR, 
34,Outside ALR,Modified
35,Within ALR, 
36,Outside ALR,
37,Within ALR, 
38,Outside ALR,Modified
39,Within ALR, 
40,Within ALR, 
41,Within ALR, 
42,Outside ALR, 
43,Outside ALR,New
44,Outside ALR, 
45,Outside ALR,Modified
46,Outside ALR,
47,Within ALR,
48,Outside ALR,
49,Outside ALR,
50,Outside ALR,
51,Outside ALR,
52,Outside ALR,
53,Outside ALR,New
54,Outside ALR,New
55,Outside ALR,
56,Outside ALR,New
57,Outside ALR,New
58,Outside ALR,
59,Within ALR,New
60,Within ALR,New
61,Within ALR,
62,Outside ALR, 
63,Outside ALR,New
64,Within ALR,New
65,Outside ALR,
66,Outside ALR,
67,Outside ALR,
68,Outside ALR,
69,Outside ALR,
70,Outside ALR,
71,Within ALR,Modified
72,Within ALR, 
73,Outside ALR, 
74,Outside ALR,
75,Outside ALR,
76,Outside ALR,
77,Within ALR,
78,Within ALR,
79,Within ALR,
80,Outside ALR,
81,Outside ALR,Modified
82,Outside ALR,Modified
83,Within ALR,
84,Within ALR, 
85,Outside ALR,
86,Outside ALR, 
87,Outside ALR,
88,Within ALR,New
89,Outside ALR,Modified
90,Outside ALR,
91,Within ALR, 
92,Outside ALR, 
93,Outside ALR,
94,Outside ALR,
95,Within ALR, 
96,Outside ALR,New
97,Outside ALR, 
98,Within ALR,
99,Outside ALR, 
100,Outside ALR,New
101,Outside ALR,
102,Outside ALR,
103,Outside ALR,
104,Outside ALR, 
105,Outside ALR,Modified
106,Outside ALR,
107,Outside ALR, 
108,Within ALR, 
109,Within ALR,Modified
110,Outside ALR,
111,Outside ALR,
112,Outside ALR,
113,Outside ALR, 
114,Outside ALR,
115,Within ALR,New
116,Within ALR,New
117,Outside ALR,New
118,Outside ALR,Modified
119,Outside ALR,New
120,Within ALR,Modified
121,Within ALR, 
122,Within ALR,New
123,Within ALR,New
124,Outside ALR,
125,Within ALR,
126,Within ALR, 
127,Outside ALR,
128,Outside ALR,
129,Within ALR,
130,Within ALR,
131,Outside ALR, 
132,Within ALR,
133,Within ALR,
134,Within ALR,
135,Outside ALR, 
136,Outside ALR,Modified
137,Outside ALR,
138,Within ALR, 
139,Within ALR,
140,Within ALR, 
141,Within ALR, 
142,Within ALR, 
143,Within ALR,
144,Outside ALR,
145,Outside ALR,New
146,Outside ALR, 
147,Outside ALR,
148,Outside ALR,
149,Outside ALR,
150,Outside ALR,
151,Outside ALR, 
152,Outside ALR,
153,Outside ALR,
154,Outside ALR, 
155,Within ALR, 
156,Outside ALR,
157,Outside ALR,
158,Outside ALR,
159,Outside ALR,Modified
160,Within ALR,
161,Outside ALR,New
162,Outside ALR,Modified
163,Within ALR, 
164,Outside ALR,New
165,Outside ALR,Modified
166,Outside ALR,Modified
167,Outside ALR,Modified
168,Outside ALR,
169,Outside ALR,
170,Outside ALR,New
171,Within ALR, 
172,Outside ALR,Modified
173,Outside ALR, 
174,Outside ALR, 
175,Within ALR,New
176,Within ALR,New
177,Outside ALR, 
178,Within ALR,New
179,Within ALR,New
180,Outside ALR,New
181,Within ALR,New
182,Outside ALR,New
183,Within ALR, 
184,Outside ALR,New
185,Outside ALR, 
186,Within ALR,
187,Within ALR,New
188,Within ALR,Modified
189,Within ALR,Modified
190,Outside ALR,
191,Outside ALR, 
192,Outside ALR,Modified
193,Outside ALR,
194,Within ALR,Modified
195,Outside ALR,
196,Outside ALR,
197,Within ALR,
198,Outside ALR, 
199,Within ALR,
200,Outside ALR,
201,Outside ALR,
202,Within ALR,New
203,Outside ALR, 
204,Outside ALR,Modified
205,Outside ALR,
206,Outside ALR,Modified
207,Within ALR, 
208,Outside ALR,New
209,Outside ALR,Modified
210,Outside ALR,New
211,Outside ALR,
212,Within ALR,
213,Outside ALR, 
214,Outside ALR,Modified
215,Outside ALR,
216,Outside ALR,
217,Outside ALR, 
218,Outside ALR,
219,Within ALR, 
220,Within ALR,
221,Outside ALR, 
222,Within ALR, 
223,Within ALR,Modified
224,Outside ALR,Modified
225,Outside ALR,New
226,Outside ALR,
227,Outside ALR, 
228,Within ALR, 
229,Outside ALR,
230,Within ALR,
231,Outside ALR,Modified
232,Outside ALR,
233,Within ALR, 
234,Outside ALR,
235,Outside ALR, 
236,Outside ALR,
237,Within ALR, 
238,Within ALR,
239,Within ALR, 
240,Within ALR, 
241,Within ALR, 
242,Within ALR, 
243,Within ALR, 
244,Within ALR,
245,Outside ALR,
246,Outside ALR,
247,Outside ALR,
248,Within ALR,
249,Outside ALR,New
250,Within ALR, 
251,Within ALR, 
252,Outside ALR,
253,Outside ALR,New
254,Within ALR, 
255,Outside ALR,
256,Outside ALR, 
257,Outside ALR,
258,Outside ALR,
259,Outside ALR,New
260,Outside ALR,Modified
261,Outside ALR, 
262,Outside ALR, 
263,Outside ALR,
264,Outside ALR,
265,Outside ALR,
266,Outside ALR,
267,Outside ALR,New
268,Outside ALR, 
269,Outside ALR,
270,Outside ALR,
271,Within ALR, 
272,Outside ALR, 
273,Within ALR,Modified
274,Outside ALR,Modified
275,Outside ALR, 
276,Outside ALR,Modified
277,Outside ALR,Modified
278,Within ALR, 
279,Within ALR,Modified
280,Within ALR,
281,Within ALR, 
282,Outside ALR, 
283,Within ALR,Modified
284,Outside ALR,New
285,Outside ALR, 
286,Outside ALR, 
287,Outside ALR,
288,Outside ALR,Modified
289,Within ALR,Modified
290,Outside ALR,New
291,Outside ALR,
292,Outside ALR, 
293,Within ALR, 
294,Outside ALR, 
295,Within ALR, 
296,Outside ALR,
297,Within ALR,
298,Outside ALR,
299,Outside ALR,
300,Outside ALR,
301,Outside ALR,
302,Within ALR,Modified
303,Outside ALR, 
304,Outside ALR,Modified
305,Outside ALR,
306,Outside ALR,New
307,Outside ALR,Modified
308,Outside ALR,New
309,Outside ALR,
310,Outside ALR, 
311,Outside ALR,
312,Outside ALR,
313,Outside ALR,
314,Outside ALR, 
315,Outside ALR, 
316,Outside ALR, 
317,Outside ALR, 
318,Outside ALR,
319,Outside ALR, 
320,Outside ALR,Modified
321,Outside ALR,
322,Outside ALR,
323,Outside ALR, 
324,Outside ALR,
325,Outside ALR,
326,Outside ALR,New
327,Within ALR, 
328,Within ALR,
329,Within ALR,New
330,Outside ALR, 
331,Outside ALR,New
332,Outside ALR, 
333,Outside ALR,New
334,Outside ALR,
335,Outside ALR,
336,Outside ALR,
337,Outside ALR,New
338,Within ALR,Modified
339,Within ALR,New
340,Within ALR,Modified
341,Outside ALR,
342,Outside ALR,
343,Within ALR,
344,Within ALR,
345,Outside ALR, 
346,Outside ALR, 
347,Within ALR,
348,Within ALR,Modified
349,Within ALR,Modified
350,Within ALR,New
351,Outside ALR,
352,Outside ALR,Modified
353,Within ALR, 
354,Outside ALR,
355,Outside ALR,
356,Outside ALR,
357,Outside ALR, 
358,Within ALR,New
359,Outside ALR,
360,Outside ALR, 
361,Within ALR,Modified
362,Outside ALR, 
363,Outside ALR,Modified
364,Outside ALR,
365,Outside ALR,
366,Within ALR, 
367,Within ALR,New
368,Within ALR,Modified
369,Within ALR,Modified
370,Outside ALR, 
371,Outside ALR,
372,Outside ALR,
373,Within ALR, 
374,Outside ALR,
375,Outside ALR,Modified
376,Outside ALR,
377,Outside ALR, 
378,Outside ALR,
379,Within ALR,
380,Within ALR, 
381,Within ALR, 
382,Outside ALR,Modified
383,Outside ALR, 
384,Outside ALR, 
385,Outside ALR,
386,Outside ALR,
387,Outside ALR,Modified
388,Within ALR, 
389,Within ALR, 
390,Outside ALR,Modified
391,Outside ALR,Modified
392,Within ALR,
393,Within ALR, 
394,Within ALR, 
395,Within ALR,Modified
396,Outside ALR, 
397,Within ALR,
398,Outside ALR, 
399,Outside ALR,
400,Outside ALR, 
401,Outside ALR,Modified
402,Within ALR,Modified
403,Within ALR,
404,Within ALR,Modified
405,Within ALR,
406,Outside ALR, 
407,Outside ALR,Modified
408,Outside ALR, 
409,Within ALR, 
410,Within ALR, 
411,Within ALR, 
412,Within ALR, 
413,Outside ALR,
414,Within ALR, 
415,Within ALR,Modified
416,Within ALR, 
417,Outside ALR,
418,Within ALR, 
419,Outside ALR,Modified
420,Outside ALR,
421,Within ALR, 
422,Within ALR, 
423,Within ALR,New
424,Within ALR, 
425,Outside ALR,
426,Outside ALR,Modified
427,Outside ALR,
428,Outside ALR,Modified
429,Outside ALR, 
430,Outside ALR,
431,Outside ALR,New
432,Within ALR, 
