,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_OWNERSHIP,ROAD_CODE,SERIAL_NO,STATUS,STATUS_DATE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,,,,Signbed - Hwy 10 & 120 St,1001879056,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,Elgin Heritage Park - Stewart Farm,1001879043,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,City Hall & School Board & Health Unit & RCMP Grounds,1001879051,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Fleetwood Park,1001879052,,,,,,,,,,20091221,,,,,,,,,,,,,
4,,,,,,Cloverdale Curling Rink Grounds,1001879041,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,South Surrey Athletic Park - Arena Grounds,1001879049,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,Clayton Park,1001879046,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,Newton Library & Senior's Centre Grounds,1001879042,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,Darts Hill Gardens Park,1001879048,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,Hawthorne Park,1001879044,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,Bakerview Park,1001879050,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,Bear Creek Park,1001879040,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,Cloverdale Library & Senior's Centre Grounds,1001879057,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,Heron Park,1001879054,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,Newton Wave Pool & Arena Grounds,1001879055,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,Cloverdale Arena & Museum Grounds,1001879047,,,,,,,,,,,,,,,,,,,,,,,
