,CRE_DATE,MOD_DATE,TRAIL_STATUS
0,20130828,,FUTURE TRAIL
1,20130828,,FUTURE TRAIL
2,20130828,20120906,EXISTING TRAIL
3,20130828,20130215,EXISTING TRAIL
4,20130828,,FUTURE TRAIL
5,20130828,20120906,EXISTING TRAIL
6,20130828,20130118,FUTURE TRAIL
7,20130828,20120906,EXISTING TRAIL
8,20130828,20120906,FUTURE TRAIL
9,20130828,20120824,EXISTING TRAIL
10,20130828,20120906,FUTURE TRAIL
11,20130828,20120906,FUTURE TRAIL
12,20130828,20120824,FUTURE TRAIL
13,20130828,20120906,EXISTING TRAIL
14,20130828,20120906,FUTURE TRAIL
15,20130828,,EXISTING TRAIL
16,20130828,20120824,EXISTING TRAIL
17,20130828,20120824,EXISTING TRAIL
18,20130828,20130828,OFFICIAL
